"env","cor"
"19CS",0.795567980693993
"19TA",0.837637435590581
"20CS",0.793461661610213
"20LY",0.658036600845686
"19CS",0.773190176450406
"19TA",0.86491816093213
"20CS",0.758826182109423
"20LY",0.560175269600649
"19CS",0.769585180426868
"19TA",0.759395310972665
"20CS",0.764320615100332
"20LY",0.690803940822099
"19CS",0.652797138674173
"19TA",0.806925696918972
"20CS",0.625110004233573
"20LY",0.330572561945245
"19CS",0.733629464622434
"19TA",0.629036171649593
"20CS",0.733829870909032
"20LY",0.591943171757847
