"env","cor"
"19CS",0.519820668259332
"19TA",0.319011639023973
"20CS",0.483316550443572
"20LY",0.259721264873512
"19CS",0.272108045931069
"19TA",0.192924231432213
"20CS",0.591705642652429
"20LY",0.499196418988812
"19CS",0.239760678581637
"19TA",0.0388411875886718
"20CS",0.422615936296133
"20LY",0.200773868507191
"19CS",0.415766277699654
"19TA",0.339365634794716
"20CS",0.43236454406204
"20LY",0.534902913243809
"19CS",0.390468737203211
"19TA",0.219345444465223
"20CS",0.448212028214921
"20LY",0.14144928049672
