"env","cor"
"19CS",0.129851186478327
"19TA",0.114755261743221
"20CS",0.338175402073475
"20LY",0.208700913038834
"19CS",0.476779102734473
"19TA",0.296645419654114
"20CS",0.571358578765255
"20LY",0.401779196131426
"19CS",0.773451251536726
"19TA",0.577625883481449
"20CS",0.657718701865545
"20LY",0.665585821420065
"19CS",0.627502191458315
"19TA",0.611494282240217
"20CS",0.713693469654702
"20LY",0.55313558405077
"19CS",0.486357782420893
"19TA",0.58864319878509
"20CS",0.513834757664613
"20LY",0.508833502059616
