"env","cor"
"19CS",0.589354624868464
"19TA",0.719378203847553
"20CS",0.735662106054803
"20LY",0.710520809347769
"19CS",0.580475935382712
"19TA",0.619026211028449
"20CS",0.524977179305969
"20LY",0.692111795599443
"19CS",0.61945822938712
"19TA",0.685610258919553
"20CS",0.613443254213874
"20LY",0.730364147600219
"19CS",0.786091610666715
"19TA",0.826160836731763
"20CS",0.720256169833259
"20LY",0.761847513577814
"19CS",0.58217797167397
"19TA",0.67530630107663
"20CS",0.588393534914995
"20LY",0.699806682908835
