"env","cor"
"19CS",0.256779539423124
"19TA",0.263653618470673
"20CS",0.352012689840622
"20LY",0.208962100198009
"19CS",0.382585691361841
"19TA",0.49527791131274
"20CS",0.363040240317046
"20LY",0.633013107905916
"19CS",0.252034839564538
"19TA",0.272566583970073
"20CS",0.38858391595543
"20LY",0.263206418570005
"19CS",0.480890815934553
"19TA",0.455813104934243
"20CS",0.38067501426309
"20LY",0.420730613213673
"19CS",0.466143472720352
"19TA",0.468837443037265
"20CS",0.484060950979199
"20LY",0.48223745990536
