"env","cor"
"19CS",0.270045014691114
"19TA",0.399252188133156
"20CS",0.39032510655084
"20LY",0.152653563229403
"19CS",0.198229540999292
"19TA",0.516580100251599
"20CS",0.397286492112339
"20LY",0.300606749669544
"19CS",0.214561239857595
"19TA",0.162555312133847
"20CS",0.109881467398599
"20LY",0.190132540306173
"19CS",0.174882022843576
"19TA",0.270665969385552
"20CS",0.180366297845351
"20LY",0.353973534740978
"19CS",0.364583269624419
"19TA",0.547278785518826
"20CS",0.283072719032904
"20LY",0.324907122724456
