"env","cor"
"19CS",0.174889294157904
"19TA",0.387113829970705
"20CS",0.210371758120606
"20LY",0.224497216840058
"19CS",0.206534823127221
"19TA",0.220374284430078
"20CS",0.31785834777263
"20LY",0.309481071079988
"19CS",0.271498101564208
"19TA",0.540921475869531
"20CS",0.270842977722301
"20LY",0.3389950900313
"19CS",0.284631760868504
"19TA",0.479878520991547
"20CS",0.397418648055312
"20LY",0.0860479590282534
"19CS",0.178493183902633
"19TA",0.34290062428058
"20CS",0.329908819277558
"20LY",0.216951299896453
