"","traits","models","CV","grain","M","SD"
"1","ash","M1","CV1","20CS",0.45242016205,0.222433668245521
"2","ash","M1","CV1","20LY",0.50642727805,0.173944551624171
"3","ash","M1","CV2","20CS",0.6021657635,0.151039566098991
"4","ash","M1","CV2","20LY",0.5585053444,0.19203391688634
"5","ash","M2","CV1","20CS",0.50753578325,0.15541748111593
"6","ash","M2","CV1","20LY",0.46318997925,0.152960410399638
"7","ash","M2","CV2","20CS",0.51418525845,0.119307148684566
"8","ash","M2","CV2","20LY",0.49579134855,0.12437272690586
"9","ash","M3","CV1","20CS",0.84450642465,0.0513653402983807
"10","ash","M3","CV1","20LY",0.8599718416,0.0599581238921589
"11","ash","M3","CV2","20CS",0.88071005835,0.0505244403216385
"12","ash","M3","CV2","20LY",0.9073908183,0.0280877619475684
"13","ash","M4","CV1","20CS",0.68653730395,0.101602838112744
"14","ash","M4","CV1","20LY",0.8646954992,0.0416517309251913
"15","ash","M4","CV2","20CS",0.75742098605,0.067655999262329
"16","ash","M4","CV2","20LY",0.9039743586,0.0355578949072971
"17","ash","M5","CV1","20CS",0.83797055415,0.0472218737105543
"18","ash","M5","CV1","20LY",0.349619704,0.134819179829339
"19","ash","M5","CV2","20CS",0.87441185225,0.035858154402562
"20","ash","M5","CV2","20LY",0.36137285235,0.120654894960377
"21","ash","M6","CV1","20CS",0.57714326445,0.164125834447152
"22","ash","M6","CV1","20LY",0.5384535087,0.184846216676558
"23","ash","M6","CV2","20CS",0.63916668075,0.167634593591659
"24","ash","M6","CV2","20LY",0.622141928,0.151426785383565
"25","da","M1","CV1","20CS",0.68255087945,0.0754808974657962
"26","da","M1","CV1","20LY",0.6009472855,0.111366182596417
"27","da","M1","CV2","20CS",0.7527273889,0.0534324368621152
"28","da","M1","CV2","20LY",0.74256262455,0.0679077438676102
"29","da","M2","CV1","20CS",0.39962585305,0.172923518000647
"30","da","M2","CV1","20LY",0.6493855745,0.0938439662823008
"31","da","M2","CV2","20CS",0.6968288546,0.0496255142244238
"32","da","M2","CV2","20LY",0.724754544,0.0689184273337401
"33","da","M3","CV1","20CS",0.546557167,0.139318482554893
"34","da","M3","CV1","20LY",0.5493925967,0.106407239841613
"35","da","M3","CV2","20CS",0.62752783515,0.106331532814349
"36","da","M3","CV2","20LY",0.6752187148,0.089068913200023
"37","da","M4","CV1","20CS",0.2774169778,0.165190693500909
"38","da","M4","CV1","20LY",0.52087233645,0.124971812269482
"39","da","M4","CV2","20CS",0.36642707915,0.116756831562218
"40","da","M4","CV2","20LY",0.64971779675,0.0908545911322383
"41","da","M5","CV1","20CS",0.5863424189,0.131955243430265
"42","da","M5","CV1","20LY",0.46402569885,0.133094310885446
"43","da","M5","CV2","20CS",0.635006724,0.116889014492907
"44","da","M5","CV2","20LY",0.5555389755,0.0939771933835856
"45","da","M6","CV1","20CS",0.68227124615,0.0693420170478265
"46","da","M6","CV1","20LY",0.61069859695,0.118179541691359
"47","da","M6","CV2","20CS",0.76901883425,0.0491226438667104
"48","da","M6","CV2","20LY",0.7755454021,0.0585057968684143
"49","fat","M1","CV1","20CS",0.425233053,0.176986855436625
"50","fat","M1","CV1","20LY",0.44865201715,0.151522363456812
"51","fat","M1","CV2","20CS",0.56353401735,0.0984604749333954
"52","fat","M1","CV2","20LY",0.55332920365,0.0715588821450601
"53","fat","M2","CV1","20CS",0.49942080725,0.153702965573405
"54","fat","M2","CV1","20LY",0.52427040935,0.0863843202679132
"55","fat","M2","CV2","20CS",0.60026014625,0.110753982442223
"56","fat","M2","CV2","20LY",0.57318782605,0.0903193451728118
"57","fat","M3","CV1","20CS",0.7488167897,0.118783876240882
"58","fat","M3","CV1","20LY",0.7694147329,0.0836779212274462
"59","fat","M3","CV2","20CS",0.7993230285,0.087032401437922
"60","fat","M3","CV2","20LY",0.8098093793,0.0945757343566876
"61","fat","M4","CV1","20CS",0.61934879555,0.102906413338875
"62","fat","M4","CV1","20LY",0.72768113535,0.109053320633865
"63","fat","M4","CV2","20CS",0.6432322859,0.118168329711456
"64","fat","M4","CV2","20LY",0.7980538742,0.0767660036721089
"65","fat","M5","CV1","20CS",0.7668500429,0.0905023406034282
"66","fat","M5","CV1","20LY",0.40843221055,0.176120649271152
"67","fat","M5","CV2","20CS",0.7894978882,0.0805259751795748
"68","fat","M5","CV2","20LY",0.47301687485,0.0922650529814654
"69","fat","M6","CV1","20CS",0.5103296272,0.0776919280681607
"70","fat","M6","CV1","20LY",0.53373762155,0.118377232731999
"71","fat","M6","CV2","20CS",0.6035739269,0.0907928707660339
"72","fat","M6","CV2","20LY",0.652653522,0.0528931121545196
"73","fiber","M1","CV1","20CS",0.70941979915,0.0736496468044709
"74","fiber","M1","CV1","20LY",0.73865201095,0.062418283857369
"75","fiber","M1","CV2","20CS",0.7829257421,0.0575361974929532
"76","fiber","M1","CV2","20LY",0.8144354159,0.0509348200429357
"77","fiber","M2","CV1","20CS",0.7343782907,0.0864459283457337
"78","fiber","M2","CV1","20LY",0.68429620435,0.0832583643223897
"79","fiber","M2","CV2","20CS",0.7906351994,0.0502844901338193
"80","fiber","M2","CV2","20LY",0.79476213715,0.0486043916147426
"81","fiber","M3","CV1","20CS",0.6848899697,0.0933597801614259
"82","fiber","M3","CV1","20LY",0.75729740605,0.0997984854585778
"83","fiber","M3","CV2","20CS",0.793780558,0.0660266154886436
"84","fiber","M3","CV2","20LY",0.8388344188,0.0346458516671782
"85","fiber","M4","CV1","20CS",0.3962913557,0.126026320526436
"86","fiber","M4","CV1","20LY",0.74243322135,0.099737465840095
"87","fiber","M4","CV2","20CS",0.58553047395,0.0819432878354385
"88","fiber","M4","CV2","20LY",0.8424266887,0.0418731428302493
"89","fiber","M5","CV1","20CS",0.64204563525,0.0881452900274208
"90","fiber","M5","CV1","20LY",0.6320205038,0.0865323895510003
"91","fiber","M5","CV2","20CS",0.70676065825,0.0757121141010228
"92","fiber","M5","CV2","20LY",0.61547077445,0.0721911403029043
"93","fiber","M6","CV1","20CS",0.7770489007,0.058831315436647
"94","fiber","M6","CV1","20LY",0.7611233362,0.0502578354254618
"95","fiber","M6","CV2","20CS",0.8011560208,0.0444013681180309
