"env","cor"
"19CS",0.278682289843552
"19TA",0.370815614576688
"20CS",0.536782158925811
"20LY",0.479022868837311
"19CS",0.281552870550393
"19TA",0.296261444943178
"20CS",0.516245832699174
"20LY",0.262252336334081
"19CS",0.112205682725744
"19TA",0.355895332366548
"20CS",0.394894184503235
"20LY",0.36327091032994
"19CS",0.28899124583372
"19TA",0.343786615098684
"20CS",0.403996957659296
"20LY",0.484119930227317
"19CS",0.207098404856658
"19TA",0.274461884124551
"20CS",0.491362208961579
"20LY",0.426765802249495
