"env","cor"
"19CS",0.28456979040042
"19TA",0.548025616988132
"20CS",0.485709742892378
"20LY",0.245853829611121
"19CS",0.220865783220106
"19TA",0.359791652646482
"20CS",0.261362674413692
"20LY",0.211887853542476
"19CS",0.492786892990291
"19TA",0.48225937596734
"20CS",0.484793190572219
"20LY",0.403932064334845
"19CS",0.330231962515193
"19TA",0.554935658120334
"20CS",0.349424382126802
"20LY",0.342835394505765
"19CS",0.25729959019349
"19TA",0.381715178878813
"20CS",0.430130006426306
"20LY",0.410860538918443
