"env","cor"
"19CS",0.320266256706233
"19TA",0.55528389464198
"20CS",0.321810543668886
"20LY",0.0784443545796454
"19CS",0.343577037118885
"19TA",0.544671685812303
"20CS",0.265532234374955
"20LY",0.40009704122257
"19CS",0.380548495300017
"19TA",0.417440744157808
"20CS",0.19133065240681
"20LY",0.282566349872896
"19CS",0.256801578956626
"19TA",0.496278845614819
"20CS",0.368901858091454
"20LY",0.311223785947751
"19CS",0.252500508837003
"19TA",0.538295428371495
"20CS",0.157678457662113
"20LY",0.288481204149659
