pedigree,female,male,env,blue
A01021/R01302,A01021,R01302,19CS,76.5
A01021/R02107,A01021,R02107,19CS,74
A01021/R05425,A01021,R05425,19CS,76
A01021/R07178,A01021,R07178,19CS,78
A01021/R11158,A01021,R11158,19CS,75
A01021/R12145,A01021,R12145,19CS,77
A01021/RTx2917,A01021,RTx2917,19CS,77
A01021/RTx2935,A01021,RTx2935,19CS,79
A01021/RTx2943,A01021,RTx2943,19CS,76
A01046/R04104,A01046,R04104,19CS,79
A01046/R05386,A01046,R05386,19CS,78
A01046/R05512,A01046,R05512,19CS,79
A01046/R11208,A01046,R11208,19CS,75.5
A01046/R12156,A01046,R12156,19CS,79
A01046/RTx2914,A01046,RTx2914,19CS,78.5
A01046/RTx2935,A01046,RTx2935,19CS,78.5
A01362/R04060,A01362,R04060,19CS,79
A01362/R05330,A01362,R05330,19CS,80
A01362/R05512,A01362,R05512,19CS,82
A01362/R07178,A01362,R07178,19CS,82
A01362/R08304,A01362,R08304,19CS,80
A01362/R12145,A01362,R12145,19CS,82
A01362/RTx2912,A01362,RTx2912,19CS,85
A01362/RTx2914,A01362,RTx2914,19CS,80
A01362/RTx2919,A01362,RTx2919,19CS,80.5
A01362/RTx2937,A01362,RTx2937,19CS,81
A01362/RTx2943,A01362,RTx2943,19CS,81
A03017/R04060,A03017,R04060,19CS,79
A03017/R04104,A03017,R04104,19CS,78.5
A03017/RTx2918,A03017,RTx2918,19CS,79
A03017/RTx2920,A03017,RTx2920,19CS,77
A03032/R04060,A03032,R04060,19CS,82
A03032/R08297,A03032,R08297,19CS,80
A03032/RTx2913,A03032,RTx2913,19CS,79.5
A03032/RTx2918,A03032,RTx2918,19CS,82
A03032/RTx2942,A03032,RTx2942,19CS,80
A03032/RTx2943,A03032,RTx2943,19CS,81
A03040/R03248,A03040,R03248,19CS,73.5
A03040/R04104,A03040,R04104,19CS,78.5
A03040/R05393,A03040,R05393,19CS,76.5
A03040/R07178,A03040,R07178,19CS,79.5
A03040/R08306,A03040,R08306,19CS,76
A03040/R12071,A03040,R12071,19CS,76.5
A03040/R12154,A03040,R12154,19CS,78
A03040/RTx2913,A03040,RTx2913,19CS,78
A03040/RTx2917,A03040,RTx2917,19CS,77.5
A03040/RTx2940,A03040,RTx2940,19CS,80.5
A03040/RTx2942,A03040,RTx2942,19CS,78
A03043/R01302,A03043,R01302,19CS,81.5
A03043/R04104,A03043,R04104,19CS,80.5
A03043/R05330,A03043,R05330,19CS,83
A03043/R05386,A03043,R05386,19CS,81.5
A03043/R05425,A03043,R05425,19CS,82
A03043/R08297,A03043,R08297,19CS,81
A03043/R08304,A03043,R08304,19CS,80.5
A03043/R12148,A03043,R12148,19CS,82.5
A03043/RTx2913,A03043,RTx2913,19CS,82.5
A03043/RTx2920,A03043,RTx2920,19CS,78.5
A03043/RTx2940,A03043,RTx2940,19CS,83
