pedigree,female,male,env,blue
A01021/R01302,A01021,R01302,19CS,2.905
A01021/R02107,A01021,R02107,19CS,2.75
A01021/R05425,A01021,R05425,19CS,3.06
A01021/R07178,A01021,R07178,19CS,2.895
A01021/R11158,A01021,R11158,19CS,2.065
A01021/R12145,A01021,R12145,19CS,2.035
A01021/RTx2917,A01021,RTx2917,19CS,2.82
A01021/RTx2935,A01021,RTx2935,19CS,2.8
A01021/RTx2943,A01021,RTx2943,19CS,3.32
A01046/R04104,A01046,R04104,19CS,2.54
A01046/R05386,A01046,R05386,19CS,2.345
A01046/R05512,A01046,R05512,19CS,2.61
A01046/R11208,A01046,R11208,19CS,2.5
A01046/R12156,A01046,R12156,19CS,2.405
A01046/RTx2914,A01046,RTx2914,19CS,2.66
A01046/RTx2935,A01046,RTx2935,19CS,2.73
A01362/R04060,A01362,R04060,19CS,2.41
A01362/R05330,A01362,R05330,19CS,2.555
A01362/R05512,A01362,R05512,19CS,1.77
A01362/R07178,A01362,R07178,19CS,2.905
A01362/R08304,A01362,R08304,19CS,2.17
A01362/R12145,A01362,R12145,19CS,1.84
A01362/RTx2912,A01362,RTx2912,19CS,2.615
A01362/RTx2914,A01362,RTx2914,19CS,1.735
A01362/RTx2919,A01362,RTx2919,19CS,2.935
A01362/RTx2937,A01362,RTx2937,19CS,2.43
A01362/RTx2943,A01362,RTx2943,19CS,2.775
A03017/R04060,A03017,R04060,19CS,2.965
A03017/R04104,A03017,R04104,19CS,2.955
A03017/RTx2918,A03017,RTx2918,19CS,3.01
A03017/RTx2920,A03017,RTx2920,19CS,2.91
A03032/R04060,A03032,R04060,19CS,2.665
A03032/R08297,A03032,R08297,19CS,2.67
A03032/RTx2913,A03032,RTx2913,19CS,2.935
A03032/RTx2918,A03032,RTx2918,19CS,2.665
A03032/RTx2942,A03032,RTx2942,19CS,2.935
A03032/RTx2943,A03032,RTx2943,19CS,3.015
A03040/R03248,A03040,R03248,19CS,2.83
A03040/R04104,A03040,R04104,19CS,1.555
A03040/R05393,A03040,R05393,19CS,2.78
A03040/R07178,A03040,R07178,19CS,2.905
A03040/R08306,A03040,R08306,19CS,2.565
A03040/R12071,A03040,R12071,19CS,2.89
A03040/R12154,A03040,R12154,19CS,2.795
A03040/RTx2913,A03040,RTx2913,19CS,2.935
A03040/RTx2917,A03040,RTx2917,19CS,2.5
A03040/RTx2940,A03040,RTx2940,19CS,2.61
A03040/RTx2942,A03040,RTx2942,19CS,2.385
A03043/R01302,A03043,R01302,19CS,3.165
A03043/R04104,A03043,R04104,19CS,2.65
A03043/R05330,A03043,R05330,19CS,3.135
A03043/R05386,A03043,R05386,19CS,2.825
A03043/R05425,A03043,R05425,19CS,2.715
A03043/R08297,A03043,R08297,19CS,2.475
A03043/R08304,A03043,R08304,19CS,2.95
A03043/R12148,A03043,R12148,19CS,2.6
A03043/RTx2913,A03043,RTx2913,19CS,3.035
A03043/RTx2920,A03043,RTx2920,19CS,2.395
A03043/RTx2940,A03043,RTx2940,19CS,2.41
A03054/R01302,A03054,R01302,19CS,2.415
A03054/R05405,A03054,R05405,19CS,2.56
A03054/R07161,A03054,R07161,19CS,2.87
A03054/R12156,A03054,R12156,19CS,2.12
A03054/RTx2918,A03054,RTx2918,19CS,2.31
A03054/RTx2936,A03054,RTx2936,19CS,2.38
A03054/RTx2940,A03054,RTx2940,19CS,2.53
A03054/RTx2941,A03054,RTx2941,19CS,2.515
A03055/R04104,A03055,R04104,19CS,1.935
A03055/R05330,A03055,R05330,19CS,2.615
A03055/R07161,A03055,R07161,19CS,3.27
A03055/R08297,A03055,R08297,19CS,2.06
A03055/R12148,A03055,R12148,19CS,2.53
A03055/RTx2918,A03055,RTx2918,19CS,2.675
A03055/RTx2936,A03055,RTx2936,19CS,2.685
A03055/RTx2942,A03055,RTx2942,19CS,1.905
A03055/RTx2943,A03055,RTx2943,19CS,2.695
A03055/RTx2944,A03055,RTx2944,19CS,2.35
A03089/R04104,A03089,R04104,19CS,2.475
A03089/R05393,A03089,R05393,19CS,2.545
A03089/R08224,A03089,R08224,19CS,3.105
A03089/R12157,A03089,R12157,19CS,2.805
A03089/RTx2914,A03089,RTx2914,19CS,2.975
A03089/RTx2917,A03089,RTx2917,19CS,2.455
A03093/R02107,A03093,R02107,19CS,2.375
A03093/R05386,A03093,R05386,19CS,3.225
A03093/R05405,A03093,R05405,19CS,2.605
