pedigree,female,male,env,blue
A01021/R01302,A01021,R01302,19CS,11.695
A01021/R02107,A01021,R02107,19CS,12.665
A01021/R05425,A01021,R05425,19CS,12.195
A01021/R07178,A01021,R07178,19CS,13.02
A01021/R11158,A01021,R11158,19CS,11.46
A01021/R12145,A01021,R12145,19CS,12.57
A01021/RTx2917,A01021,RTx2917,19CS,12.425
A01021/RTx2935,A01021,RTx2935,19CS,13.545
A01021/RTx2943,A01021,RTx2943,19CS,12.1
A01046/R04104,A01046,R04104,19CS,11.605
A01046/R05386,A01046,R05386,19CS,12.785
A01046/R05512,A01046,R05512,19CS,12.075
A01046/R11208,A01046,R11208,19CS,12.54
A01046/R12156,A01046,R12156,19CS,11.265
A01046/RTx2914,A01046,RTx2914,19CS,12.935
A01046/RTx2935,A01046,RTx2935,19CS,11.735
A01362/R04060,A01362,R04060,19CS,12.99
A01362/R05330,A01362,R05330,19CS,11.835
A01362/R05512,A01362,R05512,19CS,12.445
A01362/R07178,A01362,R07178,19CS,12.255
A01362/R08304,A01362,R08304,19CS,12.66
A01362/R12145,A01362,R12145,19CS,11.46
A01362/RTx2912,A01362,RTx2912,19CS,12.755
A01362/RTx2914,A01362,RTx2914,19CS,11.13
A01362/RTx2919,A01362,RTx2919,19CS,12.355
A01362/RTx2937,A01362,RTx2937,19CS,11.235
A01362/RTx2943,A01362,RTx2943,19CS,12.275
A03017/R04060,A03017,R04060,19CS,11.87
A03017/R04104,A03017,R04104,19CS,12.965
A03017/RTx2918,A03017,RTx2918,19CS,13.115
A03017/RTx2920,A03017,RTx2920,19CS,11.965
A03032/R04060,A03032,R04060,19CS,12.57
A03032/R08297,A03032,R08297,19CS,12.035
A03032/RTx2913,A03032,RTx2913,19CS,13.21
A03032/RTx2918,A03032,RTx2918,19CS,12.56
A03032/RTx2942,A03032,RTx2942,19CS,12.685
A03032/RTx2943,A03032,RTx2943,19CS,12.77
A03040/R03248,A03040,R03248,19CS,12.99
A03040/R04104,A03040,R04104,19CS,12.415
A03040/R05393,A03040,R05393,19CS,13.445
A03040/R07178,A03040,R07178,19CS,12.765
A03040/R08306,A03040,R08306,19CS,13.535
A03040/R12071,A03040,R12071,19CS,13.22
A03040/R12154,A03040,R12154,19CS,13.54
A03040/RTx2913,A03040,RTx2913,19CS,12.605
A03040/RTx2917,A03040,RTx2917,19CS,13.37
A03040/RTx2940,A03040,RTx2940,19CS,12.42
A03040/RTx2942,A03040,RTx2942,19CS,12.47
A03043/R01302,A03043,R01302,19CS,11.825
A03043/R04104,A03043,R04104,19CS,12.855
