"","pedigree","female","male","env","blue"
"1","A01021/R01302","A01021","R01302","19CS",144.78
"2","A01021/R02107","A01021","R02107","19CS",152.4
"3","A01021/R05425","A01021","R05425","19CS",181.61
"4","A01021/R07178","A01021","R07178","19CS",147.32
"5","A01021/R11158","A01021","R11158","19CS",158.75
"6","A01021/R12145","A01021","R12145","19CS",133.35
"7","A01021/RTx2917","A01021","RTx2917","19CS",139.7
"8","A01021/RTx2935","A01021","RTx2935","19CS",144.78
"9","A01021/RTx2943","A01021","RTx2943","19CS",153.67
"10","A01046/R04104","A01046","R04104","19CS",128.27
"11","A01046/R05386","A01046","R05386","19CS",119.38
"12","A01046/R05512","A01046","R05512","19CS",130.81
"13","A01046/R11208","A01046","R11208","19CS",124.46
"14","A01046/R12156","A01046","R12156","19CS",125.73
"15","A01046/RTx2914","A01046","RTx2914","19CS",134.62
"16","A01046/RTx2935","A01046","RTx2935","19CS",134.62
"17","A01362/R04060","A01362","R04060","19CS",133.35
"18","A01362/R05330","A01362","R05330","19CS",148.59
"19","A01362/R05512","A01362","R05512","19CS",139.7
"20","A01362/R07178","A01362","R07178","19CS",127
"21","A01362/R08304","A01362","R08304","19CS",139.7
"22","A01362/R12145","A01362","R12145","19CS",135.89
"23","A01362/RTx2912","A01362","RTx2912","19CS",129.54
"24","A01362/RTx2914","A01362","RTx2914","19CS",137.16
"25","A01362/RTx2919","A01362","RTx2919","19CS",128.27
"26","A01362/RTx2937","A01362","RTx2937","19CS",127
"27","A01362/RTx2943","A01362","RTx2943","19CS",149.86
"28","A03017/R04060","A03017","R04060","19CS",138.43
"29","A03017/R04104","A03017","R04104","19CS",130.81
"30","A03017/RTx2918","A03017","RTx2918","19CS",130.81
"31","A03017/RTx2920","A03017","RTx2920","19CS",129.54
"32","A03032/R04060","A03032","R04060","19CS",120.65
"33","A03032/R08297","A03032","R08297","19CS",111.76
"34","A03032/RTx2913","A03032","RTx2913","19CS",138.43
"35","A03032/RTx2918","A03032","RTx2918","19CS",114.3
"36","A03032/RTx2942","A03032","RTx2942","19CS",127
"37","A03032/RTx2943","A03032","RTx2943","19CS",125.73
"38","A03040/R03248","A03040","R03248","19CS",144.78
"39","A03040/R04104","A03040","R04104","19CS",140.97
"40","A03040/R05393","A03040","R05393","19CS",144.78
"41","A03040/R07178","A03040","R07178","19CS",149.86
"42","A03040/R08306","A03040","R08306","19CS",142.24
"43","A03040/R12071","A03040","R12071","19CS",135.89
"44","A03040/R12154","A03040","R12154","19CS",146.05
"45","A03040/RTx2913","A03040","RTx2913","19CS",158.75
"46","A03040/RTx2917","A03040","RTx2917","19CS",146.05
"47","A03040/RTx2940","A03040","RTx2940","19CS",123.19
"48","A03040/RTx2942","A03040","RTx2942","19CS",142.24
"49","A03043/R01302","A03043","R01302","19CS",137.16
"50","A03043/R04104","A03043","R04104","19CS",132.08
"51","A03043/R05330","A03043","R05330","19CS",135.89
"52","A03043/R05386","A03043","R05386","19CS",127
"53","A03043/R05425","A03043","R05425","19CS",130.81
"54","A03043/R08297","A03043","R08297","19CS",137.16
"55","A03043/R08304","A03043","R08304","19CS",123.19
"56","A03043/R12148","A03043","R12148","19CS",130.81
"57","A03043/RTx2913","A03043","RTx2913","19CS",135.89
"58","A03043/RTx2920","A03043","RTx2920","19CS",123.19
"59","A03043/RTx2940","A03043","RTx2940","19CS",125.73
"60","A03054/R01302","A03054","R01302","19CS",121.92
"61","A03054/R05405","A03054","R05405","19CS",135.89
"62","A03054/R07161","A03054","R07161","19CS",138.43
"63","A03054/R12156","A03054","R12156","19CS",118.11
"64","A03054/RTx2918","A03054","RTx2918","19CS",120.65
"65","A03054/RTx2936","A03054","RTx2936","19CS",130.81
"66","A03054/RTx2940","A03054","RTx2940","19CS",118.11
"67","A03054/RTx2941","A03054","RTx2941","19CS",132.08
"68","A03055/R04104","A03055","R04104","19CS",124.46
"69","A03055/R05330","A03055","R05330","19CS",162.56
"70","A03055/R07161","A03055","R07161","19CS",148.59
"71","A03055/R08297","A03055","R08297","19CS",137.16
"72","A03055/R12148","A03055","R12148","19CS",129.54
"73","A03055/RTx2918","A03055","RTx2918","19CS",148.59
"74","A03055/RTx2936","A03055","RTx2936","19CS",143.51
"75","A03055/RTx2942","A03055","RTx2942","19CS",134.62
"76","A03055/RTx2943","A03055","RTx2943","19CS",144.78
"77","A03055/RTx2944","A03055","RTx2944","19CS",143.51
"78","A03089/R04104","A03089","R04104","19CS",128.27
"79","A03089/R05393","A03089","R05393","19CS",148.59
"80","A03089/R08224","A03089","R08224","19CS",179.07
"81","A03089/R12157","A03089","R12157","19CS",138.43
"82","A03089/RTx2914","A03089","RTx2914","19CS",148.59
"83","A03089/RTx2917","A03089","RTx2917","19CS",130.81
"84","A03093/R02107","A03093","R02107","19CS",129.54
"85","A03093/R05386","A03093","R05386","19CS",130.81
"86","A03093/R05405","A03093","R05405","19CS",153.67
"87","A03093/R07178","A03093","R07178","19CS",133.35
"88","A03093/R08297","A03093","R08297","19CS",129.54
"89","A03093/R12148","A03093","R12148","19CS",143.51
"90","A03093/RTx2913","A03093","RTx2913","19CS",148.59
"91","A03093/RTx2917","A03093","RTx2917","19CS",125.73
"92","A03093/RTx2920","A03093","RTx2920","19CS",130.81
"93","A03093/RTx2940","A03093","RTx2940","19CS",123.19
"94","A03093/RTx2944","A03093","RTx2944","19CS",133.35
"95","A03121/R02107","A03121","R02107","19CS",142.24
"96","A03121/R05330","A03121","R05330","19CS",144.78
