"","pedigree","female","male","env","blue"
"1","A01021/R01302","A01021","R01302","19CS",7531.9794
"2","A01021/R02107","A01021","R02107","19CS",7209.1254
"3","A01021/R05425","A01021","R05425","19CS",7570.1686
"4","A01021/R07178","A01021","R07178","19CS",7569.3339
"5","A01021/R11158","A01021","R11158","19CS",8012.8451
"6","A01021/R12145","A01021","R12145","19CS",7570.8225
"7","A01021/RTx2917","A01021","RTx2917","19CS",7849.6671
"8","A01021/RTx2935","A01021","RTx2935","19CS",6867.7584
"9","A01021/RTx2943","A01021","RTx2943","19CS",9027.6784
"10","A01046/R04104","A01046","R04104","19CS",7082.3753
"11","A01046/R05386","A01046","R05386","19CS",7959.9153
"12","A01046/R05512","A01046","R05512","19CS",7090.348
"13","A01046/R11208","A01046","R11208","19CS",6849.0584
"14","A01046/R12156","A01046","R12156","19CS",7518.022
"15","A01046/RTx2914","A01046","RTx2914","19CS",6041.7978
"16","A01046/RTx2935","A01046","RTx2935","19CS",7575.6322
"17","A01362/R04060","A01362","R04060","19CS",8110.8879
"18","A01362/R05330","A01362","R05330","19CS",6706.2898
"19","A01362/R05512","A01362","R05512","19CS",6059.3281
"20","A01362/R07178","A01362","R07178","19CS",6608.1926
"21","A01362/R08304","A01362","R08304","19CS",8223.1828
"22","A01362/R12145","A01362","R12145","19CS",7404.5395
"23","A01362/RTx2912","A01362","RTx2912","19CS",6796.1259
"24","A01362/RTx2914","A01362","RTx2914","19CS",7723.3031
"25","A01362/RTx2919","A01362","RTx2919","19CS",8630.076
"26","A01362/RTx2937","A01362","RTx2937","19CS",6560.3684
"27","A01362/RTx2943","A01362","RTx2943","19CS",5628.2478
"28","A03017/R04060","A03017","R04060","19CS",6913.9201
"29","A03017/R04104","A03017","R04104","19CS",6626.6593
"30","A03017/RTx2918","A03017","RTx2918","19CS",5966.1151
"31","A03017/RTx2920","A03017","RTx2920","19CS",7497.4115
"32","A03032/R04060","A03032","R04060","19CS",8048.1918
"33","A03032/R08297","A03032","R08297","19CS",6694.125
"34","A03032/RTx2913","A03032","RTx2913","19CS",7295.4547
"35","A03032/RTx2918","A03032","RTx2918","19CS",6607.601
"36","A03032/RTx2942","A03032","RTx2942","19CS",7213.752
"37","A03032/RTx2943","A03032","RTx2943","19CS",7715.4795
"38","A03040/R03248","A03040","R03248","19CS",7690.6934
"39","A03040/R04104","A03040","R04104","19CS",7980.2524
